제목,내용,평점,좋아요 수
서울의 봄,"보수 정권 시기에 어떻게 개봉했지 싶을 정도로 신랄한 영화.
몰입도 마저 굉장했다.
굉장히 꼼꼼하게 준비한 티가 난다.
실화 기반의 영화를 강조하기 위해 중간 중간 사건들을 친절하게 입력시켜주는 자막과 결말에서의 박제는 감독의 대담함이 느껴지는 부분.
크레딧 음악 선정이 기가 막히다.",4.5,30
범죄도시3,"기존의 공식을 따라가며 슬슬 느껴지는 익숙한 맛.
그럼에도 여전히 독보적이고 매력적인 캐릭터.
이젠 새로운 맛도 가미되어야 할 때.",3.5,9
독,"구현동화 빨리 읽기.
허상의 실체화.",3.0,9
라이프 오브 파이,"영화를 보기 전엔 마냥 넓고 쓸쓸하고 위험하지만 아름다운 대자연을 보여주는 이야기인 줄 알았고,
영화를 보면서는 극적으로 살아난 환상동화인 줄 알았던 이야기가,
영화를 보고난 후, 잔혹 에세이가 되었을 때의 그 충격이란...",4.5,14
살리는 일 : life that saves,"다큐멘터리와 실험영화 그 사이 어딘가.
너를 통해 본 나.",3.5,9
욕망,"진실인 지 혹은 허상인 지,
정확히 본 것인 지 혹은 보고싶은대로 본 것인 지.
'욕망'이라는 제목보단 '확대(확장)'라는 제목이 맞는 작품.
영화를 다 본 후, 주인공이 영화 속 행했던 몇몇의 동작들이 어딘가 부자연스러웠다는 생각이 드는 지금, 과연 주인공의 행위들 중 무엇이 실체였고 무엇이 허상이었을까.
어쩌면 조현병을 다뤘다는 느낌도 드는 영화.",3.5,13
싱크 앤 라이즈,짧고 굵은 번뜩이는 아이디어,3.5,9
중경삼림 리마스터링,"어쩌면 시와 같은 어쩌면 꿈 같은 이야기들.
범죄와 망상과 낭만은 한 끗차이였던 그 시절의 이야기.",4.0,11
그대들은 어떻게 살 것인가,"이 커다란 우주 속 우리의 세상과 비슷한 세상 또한 존재할 터지만, 각자의 세상 속 각자의 본질을 담은 모습이 가장 강하다.
비록 약해지는 시기 혹은 상황들은 있을지라도 우리 모두 지금이 가장 강한 사람이라는 것.
그 과정 속 나의 길잡이 혹은 동반자가 진실일 수도 거짓일 수도 있는 법.
겉으로는 선과 악, 내 편과 네 편, 알아보기 힘들 테지만 복합적으로 살아가는 인생이란 그런 것.
살아가는 인생 속 기쁨, 슬픔, 좌절, 행복, 이별, 외로움 등 수도 없이 많은 감정들이 당신을 거쳐갈 것이다.
때로는 시련일 것이고, 때로는 축복이 될 그 사건들 속에서 굳은 심지로 약해지지 말고 세상을 살아가라는 하야오 옹의 복잡하고도 꿋꿋한 신념.
하야오 옹만의 메타버스.
생각할 게 많아서 재밌는 영화.
+ 영화를 보고 나서야 보이는 포스터 속의 눈 안의 눈.
++ 영화를 관통하는 대사 하나만 고르자면 ""왜가리가 말하길, 모든 왜가리는 거짓만을 말한다. 그것은 진실일까, 거짓일까.""라는 대사를 고를 것이다. 인생에 절대란 없기에.
+++ 영화의 여운을 곱씹다보니 걸리버여행기의 이미지가 뇌리를 스치기도. 하지만 마히토는 걸리버와는 다른 삶을 살아가겠지.",5.0,12
두 여자의 방,아무도 안 건드렸는데 내 물건이 사라지는 듯한 느낌을 받은 적이 종종 있지.,3.0,9
고스트 스토리,"사람, 사랑 이 모든 것을 비롯한 우리네 역사는 반복된다. 고작 100년 남짓 살면 오래 사는 인간 따위가 함부로 단정짓지 마라.",4.0,10
여섯 개의 밤,"여섯개의 밤, 세 건의 이야기, 한 곳의 장소.",2.5,12
거미집,"걸작을 완성하고자 하는 욕망, 따라주지 않는 실력과 함께하는 욕심에 의한 옳지 않게 꿰어버린 첫 코를 얘기하는 작가주의에 대한 작가주의 영화",4.0,24
어파이어,"그저 사회 부적응 면모만 보이는 거 같던 주인공이 알고보니 주체화와 타자화 그 사이 어딘가임을 깨달을 때, 비로소 영화는 다시 보이기 시작한다.",4.0,18
잘 봤다는 말 대신,다양한 시선으로 봐주세요,3.0,8
콘크리트 유토피아,한국에서 간만에 나온 수작 상업영화다 싶다가도 생각보다 느린 초반 템포에 당황하고 포스트 아포칼립스 치고는 부족한 세계관이 아쉬웠던 영화. 담을 건 담고 버릴 건 버린 영화라 깔끔하긴 했다.,4.0,14
오펜하이머,"범인은 감당 못했을 고민과 고통.
그에게 윤리적 잣대를 들이밀 수 있는 자가 얼마나 될까.
매번 상향되는 기대치를 항상 충족하는 놀란의 영화들.
나이를 먹어감에 있어 나 또한 영화 취향이 한 방향으로 가고 있음에도 불구하고 웰메이드 영화에 대한 리스펙은 유지해야할듯 하다.",5.0,20
평화가 사람 속을 걸어다니네,"해군기지 건설을 반대했던 마을 주민들의 이야기.
영화는 한쪽의 입장만을 대변하는 느낌이라 아쉽긴 하지만 그들의 이야기가 헤드라인에서 사라진 지 오래된 요즘에 관심이라는 한 줌의 씨앗을 뿌리는 영화.",3.0,8
네번의 결혼식과 한번의 장례식,"색다른 전개 방식과 함께하는 결혼적령기의 위트, 그리고 마주하는 본인의 감정.",3.5,7
밀수,"그냥 가볍게 즐기고 오면 되는 팝콘 무비.
복세편살 같은 영화였다.
감독님께서 수중액션 씬 영화를 한번 찍어보고 싶으셨던 거 같다.
그럼에도 눈가리고 아웅 하는 몇 씬은 아쉬웠다.",3.0,16
바비,"꽤나 강렬하고도 통렬한 유머로 여성의 시선에서 페미니즘을 말하고 남녀평등을 지지하는 영화.
그 중간에서 남성과 여성 한쪽만 필요한 게 아닌 두 성별 모두 필수불가결 하다는 걸 알려주며 두 성별 모두 각자의 깨달음을 갖기를 바라는 영화.
""우리 그만 싸우고 함께 해요"" 라고 말해주는데 어찌 이 영화를 좋아하지 않을 수가 있을까...
(전 그렇게 생각합니다. 제가 여태 남자로 살아온 인생 속 제 주변은 가부장제를 배운 켄보다는 더 올바른 가치관을 갖고 비판적 사고를 가지고 사는 분들과 함께 했기에 켄들의 행동이 잘 이해 안 되는 경우도 많았지만, 제 인생만으로 표본을 잡기엔 세상은 너무 넓고 사람들은 넘친다고 봅니다. 이건 깨우치지 못한 바비 또한 마찬가지겠지요. 많은 페미니즘 영화들에서 항상 봐왔듯 이 영화의 댓글창에서도 투기장이 열리는 것을 보고 또 마음 한 켠이 답답해져서 사견이 길어졌습니다.)",4.5,14
메타모르포제의 툇마루,현실을 마주하는 덕후들의 귀여운 모임,4.0,14
고래의 뼈,현실과 환상과 그 둘이 합쳐진 SNS의 세계까지 번갈아 보여주며 그녀를 통해 나를 찾아가는 주인공. 소재도 흥미로웠고 초중반에 이야기를 풀어가는 방식도 너무 재밌었다가 후반에 힘을 좀 잃었지만 그럼에도 수작이라 생각한다.,4.0,9
가부키초의 탐정 마리코,"칵테일바에서 마실 수 있는 '레인보우 칵테일' 같은 영화.
영화에 나오는 모든 에피소드의 맛이 다 다르고 어울리지 않는다. (솔직히 맛있진 않다)
하지만, 웬만한 칵테일 바에서 빠지지 않는 메뉴라는 점.",3.0,11
#맨홀,"빛 좋은 개살구.
높은 기술력으로 완성된 영화 속 방탈출 카페보다 허술(허접)한 설정.",2.5,10
모두의 행복을 위해,비유로 치자면 직유법. 너무 정직한 영화 오랜만에 본다. 배우 덕에 끝까지 봤다.,3.0,12
여기는 아미코,"다른 아이들과 달리 유독 유별났던 아이가 공감이란 걸 깨달을 때.
공감이란 건 상호작용의 결과값이었다는 걸 체득할 때.",4.0,27
싱글 에이트,"클리셰 투성이에 낡은 연출 및 설정 투성이인 영화.
하지만, 영화를 꿈꿨던 과거 우리의 모습이 떠오르는 영화.",3.5,32
보 이즈 어프레이드,"장장 3시간짜리 미로같은 퍼즐을 만들어 놓은 더 킹갓 변태 마제스티 아리애스더 감독.
이 영화 진짜 광기 그 자체다;;;",4.0,37
엘리멘탈,기발한 소재로 처음부터 끝까지 뚝심있게 이어 나가는 영화. 아이들의 눈높이로 보면 굉장히 좋은 영화.,4.0,20
RRR: 라이즈 로어 리볼트,인도에서 만든 12부작 드라마를 3시간으로 쫘악 압축한 것 같은 영화,3.5,10
슬픔의 삼각형,청소부였던 내가 이세계에선 이들을 이끄는 대장이라고!?,4.5,206
서부 전선 이상 없다,벌어지는 전쟁 속 언제 어디서 누가 어떻게 죽을 지 아무도 모른다. 죽음 그 이후에도 잔재하는 공포.,4.0,15
토리와 로키타,어딘가에서 이와 같은 방식으로 살고 있을 토리와 로키타를 알려주고 싶어서 최대한 객관적으로 그들의 삶을 따라가려 한 다르덴 감독님들의 시선.,3.5,19
스즈메의 문단속,"하야오의 뒤를 잇고 싶어하는 마코토의 포부.
하지만 포부에 비해 아직은 아쉬운.
좋은 내용 하나로 길게 끌어 간신히 2시간 채운 느낌.",3.5,15
에어,"내가 믿는 것에 대한 뚝심과 그걸 해내는 추진력.
+ 맷 데이먼과 벤 애플렉의 제작자로서의 첫 출발을 축하하며 출발점으로써는 꽤나 괜찮은 영화지 않을까 싶다.",4.0,26
파벨만스,"스티븐 스필버그의 회고록. Fable인 척 하는 Fact.
영화를 만들기 위해 객관적인 시선으로 감정을 녹여낼 수 있게 최선을 다해 길러주신 부모님을 향한 헌사.",4.5,29
더 웨일,"떨어진 자존감에 깊숙하게, 더 깊숙하게 남들을 피해 숨어가던 고래들도 결국 다들 다른 고래들은 어떻게 살아가는지 궁금해한다. 그리고 너에게 내가 보이지 않기를 바란다.",4.0,22
다음 소희,굉장히 직설적인 영화. 결국 단 한명의 경찰은 아무것도 바꾸지 못하고 쏟는 건 눈물뿐.,4.0,16
아티스트,무성영화를 향한 향수가 현대 영화들 사이에서 오히려 새롭고 참신한 영화가 된 경우.,4.5,16
바톤 핑크,"글은 누가, 누구를 위해, 누구에 의해 쓰여져야 하는 지 끊임없이 생각하는 영화. 정답은 없다.",4.0,14
허트 로커,"영화는 시종일관 핸드헬드로 긴박하고도 요동치는 전쟁 속 여러 상황과 감정들을 담는다.
다만 그 과정에서 이성적인 판단보단 감정에 휘둘려 꽤나 허술한 장면들이 왕왕 나오게 되는데 이 영화는 이 모든 장면들을 주인공의 '목숨을 건 도박'에 걸고 있는 듯 하다.",3.5,18
오! 수정,난 이 영화가 극단적인 인간 군상의 비약이라고 여기고 싶다. 난 좋은 세상에서 사는 사람이고 싶다.,2.0,10
콜 제인,실제 사건을 기반으로 위트 있으면서도 하고자 하는 메시지를 확실히 전달하는 영화. '세상을 바꾼 변호인'도 생각났던 영화. 페미니즘 인권 운동에 있어 강경파와 온건파의 대립이 보여지는 장면은 현 시대와도 맞닥뜨려지는 자아성찰적인 면모도 보이는 듯 하다.,4.0,22
바빌론,"당신이 영화를 좋아한다면, 당신이 영화업계 종사자라면 꼭 한번쯤은 봐야할 영화.
잘 나가는 모범생 오타쿠가 마음 먹고 영화를 사랑한다는 영상메시지를 만드는 법.",5.0,31
에브리원 세즈 아이 러브 유,"참으로 폭주기관차 같은 영화.
이 기차는 종착역을 향해 달려가며 수많은 역을 지나가지만 결국 마지막에는 출발지에 도착하는 순환 열차다.
단편적인 캐릭터를 여럿 배치 시켜 복잡한 이야기를 만들어 연쇄시키는 마법같은 영화.",4.0,12
토니 타키타니,"영화는 주체와 객체가 순간순간 뒤바뀌며 내가 너에게 나에게 너가 나에게 너에게 말을 걸고 생각을 밝힌다.
우리는 모두 각기 다른 외로움을 느끼고 외로움의 형태를 가지고 있으며 해소를 위한 각고의 노력은 끝없이 이루어진다.",3.5,14
갓 투 킵 온,"예술에 있어 영역이란 갈수록 점점 모호해져 가는 구분.
특히 타 장르와의 협업 또는 융화에 있어 이 현상은 더욱 뚜렷하게 드러나는데 이 뮤비는 그걸 시각화한 video이다.
그렇게 한 데 어우러져 새로 태어나는 것도 예술.",4.0,11
아멜리에,"좋은 뜻이든 나쁜 뜻이든 남의 인생에 허락없이 끼어드는 주인공이 처음엔 마음에 들지 않았다가 '인생 총량의 법칙에 따르면 아멜리에가 남들에게 미친 영향력은 그 어떤 사람들보다 아직 훨씬 적을 것'이라는 생각에 다다름과 동시에 이 영화는 내 인생 영화 리스트에 올라가게 되었다.
상상의 기쁨은 결국 내게 행복감을 주지만 진정한 행복은 맺어진 결실에 나오는 것임을!!!",5.0,14
스위니 토드: 어느 잔혹한 이발사 이야기,"뮤지컬 영화라는 장르에서 영화보다는 뮤지컬에 비중을 훨씬 많이 둔 경우.
그저 공간을 넓게 쓰는 뮤지컬 극을 보는 것 같았다.",3.5,11
프렌치 디스패치,"신문의 영화화 + 웨스 앤더슨의 하고 싶은 거 다 하기!
영화관에서 봤으면 상당히 집중해서 더 좋게 봤을 것 같은 영화.",3.5,15
더 퍼스트 슬램덩크,"슬램덩크 팬들을 위한 최고의 팬 무비!
원작이 너무도 뛰어나기에 원작의 카타르시스를 느끼기엔 충분하다",4.0,26
연애 빠진 로맨스,"생각보다 찰떡인 정가영 표 상업영화.
발칙할 때 발칙하고 평이할 때 평이하다.",4.0,17
다키스트 아워,"실화만큼 확실한 흥행 소재는 없다.
지하철 신파 말고 재밌게 본 영화.",4.0,15
나이브스 아웃: 글래스 어니언,추리물 팬이 아닌 그저 영화 팬으로써는 충분히 만족하고 재밌게 본 영화.,4.0,23
스펜서,많은 사람들에 칭송 받는 나일지라도 나를 잃어버린 채 살아가는 삶은 행복하지 않을 수 있다,4.0,17
졸업,청춘과 불안으로 만들어 낸 굉장히 러프한 영화. 날 것의 사랑을 표현하는 데 있어 탁월하다.,4.0,13
도쿄!,"3.5 공드리
4.0 레오 까락스
4.5 봉준호",4.0,14
해시태그 시그네,"핵관종 불건강한 ENFP의 좌충우돌 관심 받기 프로젝트.
2022. 12. 28 메가박스 코엑스 시사회.",4.0,20
블루 재스민,과거에 누렸던 영광 없인 더 이상 살아갈 수 없는 블루 재스민의 허영덩어리 삶의 추락. 케이트 블란쳇의 열연이 영화를 완성했다.,3.5,16
