제목,내용,평점,좋아요 수
어쌔신,"실베스터 스탤론, 줄리안 무어, 안토니오 반데라스 풋풋하고 이렇게 업계 1위하기가 힘들다",3.0,3
코브라,범법에는 무자비한 코브라같은 집행자가 시급하다,2.5,1
나이트호크,수염을 길러도 록키를 숨길수 없다,3.0,2
캐치 미 이프 유 캔,아버지를 기쁘게 한 효자 천재 사기꾼의 빌드업,4.0,5
콜드 크릭,젊은 샤론스톤보다 소녀 크리스틴 스튜어트를 볼 수 있는게 더 반갑다,3.0,4
캐리온,공항 교통보안요원이 할 수 있는 일은 아니라고 보오,2.5,12
슬링샷,우주선 안에서 고독해하는 존보다 관객들이 더 힘들고 지루하고 외롭게 되는 영화,2.5,4
레드 룸스,뤼도비크 슈발리에와 캘리앤 둘 다 사람이 아니었다,3.0,9
러브 라이즈 블리딩,이 영화는 신기하게도 정상적인 사람이 한명도 없네,3.0,4
칠드런스 트레인,아들 뺨을 메몰차게 때릴수 밖에 없었던 가난했던 엄마의 마음이라니..,3.5,5
그녀가 죽었다,모두 자기가 옳다고 하는 세상속에 살고들 있다,3.0,7
울프스,고독한 늑대들과 명질긴 소년의 티키타카,3.5,5
언터처블,숀 코네리와 로버트 드니로를 함께 볼 수 있는 챤스,3.5,4
말벌,그런데 헤더가 복수한거 맞나?,3.0,3
글렌게리 글렌 로스,이 영화 장르는 드라마가 아니라 전쟁영화다,3.5,4
모나리자 스마일,모나리자가 행복해서 웃는게 아니다,3.5,5
브루클린,이민과 정체성의 갈등속에 피어난 사랑,3.5,4
인 어 밸리 오브 바이얼런스,웨스턴 준윅 ..그러나 악당들이 너무 순진하기만하다,2.0,3
티파니에서 아침을,오드리 헵번의 리즈시절을 보는것 만으로도 충분하다,4.0,6
제3의 사나이,숨막히는 화면의 고요를 안톤 카라스가 켜는 치다의 현음이 덮는다,4.0,6
아메리칸 뷰티,아름다운 내면의 어두운 현실,4.0,7
프라이멀 피어,법률 스릴러 장르의 주목할만 영화,4.0,7
25시,무례한 기자가 '웃어요 활짝'하는데도 웃으려 애쓰는 요한이란 사람은 대체 무슨 종자인가?,4.0,6
라스트 콘서트,올드한 70년대 감성을 피아노 선율로 재생,3.0,5
자이언트,자이언트 미국의 대서사시 그리고 제임싀 딘,4.0,5
애수,그 유명한 명화극장 오프닝 키쓰씬,3.5,3
츠레가 우울증에 걸려서,"나는 오늘도 살아 가고 있습니다..
착한남편 착한아내가 있었기에 해피엔딩",3.5,5
세이사쿠의 아내,전쟁놀이에 눈이 먼 남편의 눈을 멀게함으로 얻은 기가 막힌 반전,4.0,6
죽음의 가시,미호의 광기가 4시간동안 숨통을 조이는 공포영화,4.0,4
내가 널 사랑할 수 없는 10가지 이유,히스레저 존멋 조토끼 귀염 뽀스레기 시절,4.0,5
