제목,내용,평점,좋아요 수
갓랜드,멱살을 붙잡고 공멸해가는 인간사가 허허롭게 건너뛰는 자연 속에 언뜻 맺힌다.,4.0,132
여기는 아미코,닿을 곳을 찾지 못한 구조신호가 아프게 웅웅거린다.,3.5,126
바튼 아카데미,상처를 안고 홀로 견디는 자들의 시공간을 연결하는 디졸브의 짙은 위로.,4.0,466
오키쿠와 세계,가장 냄새나는 세계에 불어넣은 이토록 따스한 시적 정취.,3.5,143
벗어날 탈,소멸과 종결이 인연과 순환으로 꼬리를 무는 정밀하면서 신비한 만다라 같다.,3.5,134
파묘,"허리가 끊겨 양분된 후 힘 못 쓰는 이야기, 편의적 보이스오버로 시각적 상상력을 대체한 맥없는 클라이맥스.",2.5,1720
안데스 설원의 생존자들,캐릭터보다 앙상블에 집중하는 연출로 지옥에서도 어깨를 겯는 생명들의 희망을 고스란히 전한다.,3.5,164
팝 역사상 가장 위대한 밤,뜨거운 마음들이 한데 모여 가장 화려하게 타오르던 그 밤의 열기.,3.5,126
아가일,요란하게 피워올리고 리드미컬하게 누비는 사이키델릭 액션의 재미.,3.0,174
소풍,혼을 담은 열연은 늙지 않는다.,2.5,117
플랜 75,외면하고 싶은 시대의 난제를 정면에서 짚는다.,3.0,132
추락의 해부,결국 이야기의 진실을 결정하는 사람은 화자가 아니라 청자.,4.5,1303
웡카,섭취하기 쉽게 잘라놓은 낭만과 향수 속에서 티모시 샤르르 샤랄라 샬라메.,3.0,2047
"타르콥스키, 기도하는 영혼",다빈치 바흐 톨스토이와 함께 타르콥스키가 시인이기도 하다는 증거.,4.0,126
두 세계 사이에서,나누었던 감정이 진실이었어도 여전히 남는 문제들을 곱씹게 한다.,3.0,88
울산의 별,시스템의 냉혹한 원칙에 얼어붙은 삶의 하루하루.,3.0,100
도그맨,GOD를 거꾸로 하면 DOG라는 새삼스런 재발견에 토대한 괴상한 추진력.,2.5,172
세기말의 사랑,통통 튀는 캐릭터여야 한다는 강박.,2.5,123
나의 올드 오크,혐오로 뒤덮여가는 세상을 향해 호소하는 노대가의 마지막 직설.,3.0,151
노 베어스,"언제 찍거나 멈출 것인가 어디로 따라갈 것인가, 때론 그게 영화의 전부.",5.0,383
립세의 사계,민속학적으로 흥미로울 때가 있지만 내내 텁텁하다.,2.5,113
외계+인 2부,SF의 그림자가 영화의 빛을 덮었다.,2.5,214
